account_id,district_id,frequency,Date,Account_type,Card _assigned
2884,1,Monthly Issuance,2017-02-08,Savings account,Silver
1830,10,Monthly Issuance,2017-02-08,NRI account,Silver
7753,74,Monthly Issuance,2017-02-08,Salary account,Silver
244,24,Monthly Issuance,2017-02-08,Salary account,Silver
1477,1,Monthly Issuance,2017-02-08,Salary account,Silver
4240,50,Monthly Issuance,2017-02-08,Salary account,Silver
1006,6,Monthly Issuance,2017-02-08,Salary account,Silver
830,74,Monthly Issuance,2017-02-08,Savings account,Silver
9188,45,Monthly Issuance,2017-02-08,Salary account,Silver
1965,57,Issuance After a Transaction,2017-02-08,NRI account,Gold
1134,6,Monthly Issuance,2017-02-09,NRI account,Silver
1601,10,Monthly Issuance,2017-02-09,Salary account,Silver
2861,38,Monthly Issuance,2017-02-10,Salary account,Silver
813,16,Monthly Issuance,2017-02-10,NRI account,Silver
2585,75,Monthly Issuance,2017-02-10,NRI account,Silver
2220,16,Monthly Issuance,2017-02-10,Savings account,Silver
2763,64,Monthly Issuance,2017-02-11,Savings account,Silver
2342,51,Monthly Issuance,2017-02-11,Savings account,Silver
1944,72,Monthly Issuance,2017-02-12,Salary account,Silver
1966,27,Monthly Issuance,2017-02-12,NRI account,Silver
1801,46,Monthly Issuance,2017-02-13,Salary account,Silver
2543,68,Monthly Issuance,2017-02-13,Savings account,Silver
2293,31,Monthly Issuance,2017-02-13,Salary account,Silver
11013,1,Weekly Issuance,2017-02-14,Salary account,Diamond
2423,30,Monthly Issuance,2017-02-14,Savings account,Silver
142,51,Monthly Issuance,2017-02-15,Salary account,Silver
3424,74,Monthly Issuance,2017-02-16,Savings account,Silver
539,13,Issuance After a Transaction,2017-02-16,Savings account,Gold
979,21,Monthly Issuance,2017-02-16,Salary account,Silver
3554,66,Monthly Issuance,2017-02-16,Savings account,Silver
3545,51,Monthly Issuance,2017-02-17,Salary account,Silver
3047,16,Monthly Issuance,2017-02-17,Savings account,Silver
3374,21,Monthly Issuance,2017-02-17,Savings account,Silver
96,68,Monthly Issuance,2017-02-18,NRI account,Silver
461,30,Monthly Issuance,2017-02-18,Salary account,Silver
3593,1,Monthly Issuance,2017-02-18,Savings account,Silver
3026,24,Monthly Issuance,2017-02-18,Savings account,Silver
1054,10,Monthly Issuance,2017-02-19,Savings account,Silver
2433,71,Monthly Issuance,2017-02-19,Salary account,Silver
3691,50,Monthly Issuance,2017-02-19,Salary account,Silver
3787,70,Monthly Issuance,2017-02-19,Salary account,Silver
128,2,Monthly Issuance,2017-02-19,Savings account,Silver
3168,39,Monthly Issuance,2017-02-20,Savings account,Silver
4937,12,Monthly Issuance,2017-02-20,NRI account,Silver
2124,69,Monthly Issuance,2017-02-20,NRI account,Silver
322,1,Monthly Issuance,2017-02-20,NRI account,Silver
4355,31,Monthly Issuance,2017-02-21,NRI account,Silver
1678,1,Monthly Issuance,2017-02-22,Savings account,Silver
2396,2,Monthly Issuance,2017-02-22,Salary account,Silver
1005,54,Weekly Issuance,2017-02-23,Salary account,Diamond
697,28,Monthly Issuance,2017-02-23,Savings account,Silver
925,59,Monthly Issuance,2017-02-23,Salary account,Silver
2110,64,Monthly Issuance,2017-02-23,Savings account,Silver
1366,60,Monthly Issuance,2017-02-24,Savings account,Silver
1050,57,Issuance After a Transaction,2017-02-24,Salary account,Gold
3117,33,Monthly Issuance,2017-02-24,Savings account,Silver
562,50,Monthly Issuance,2017-02-25,Salary account,Silver
5369,54,Monthly Issuance,2017-02-25,Savings account,Silver
2242,7,Weekly Issuance,2017-02-25,Salary account,Diamond
197,1,Monthly Issuance,2017-02-25,Savings account,Silver
496,69,Monthly Issuance,2017-02-26,NRI account,Silver
2,1,Monthly Issuance,2017-02-26,Salary account,Silver
7401,1,Monthly Issuance,2017-02-26,Savings account,Silver
2486,1,Monthly Issuance,2017-02-27,Salary account,Silver
428,1,Monthly Issuance,2017-02-27,Savings account,Silver
3651,23,Monthly Issuance,2017-02-27,NRI account,Silver
1775,17,Monthly Issuance,2017-02-27,Salary account,Silver
1688,70,Monthly Issuance,2017-02-27,NRI account,Silver
361,51,Monthly Issuance,2017-02-27,Salary account,Silver
1829,43,Monthly Issuance,2017-02-27,Salary account,Silver
1575,1,Monthly Issuance,2017-02-27,Savings account,Silver
9203,70,Monthly Issuance,2017-02-27,NRI account,Silver
3008,72,Monthly Issuance,2017-02-27,NRI account,Silver
239,69,Weekly Issuance,2017-03-01,NRI account,Diamond
3302,21,Monthly Issuance,2017-03-02,Savings account,Silver
415,25,Monthly Issuance,2017-03-03,NRI account,Silver
3513,20,Monthly Issuance,2017-03-03,NRI account,Silver
4134,7,Monthly Issuance,2017-03-03,Savings account,Silver
1077,14,Monthly Issuance,2017-03-03,NRI account,Silver
1713,43,Monthly Issuance,2017-03-03,Savings account,Silver
1378,59,Monthly Issuance,2017-03-04,NRI account,Silver
2503,1,Monthly Issuance,2017-03-05,NRI account,Silver
559,46,Monthly Issuance,2017-03-05,Savings account,Silver
6555,38,Weekly Issuance,2017-03-05,Savings account,Diamond
744,42,Monthly Issuance,2017-03-06,Savings account,Silver
882,9,Monthly Issuance,2017-03-06,Salary account,Silver
86,54,Monthly Issuance,2017-03-07,Salary account,Silver
1126,56,Monthly Issuance,2017-03-08,NRI account,Silver
2666,49,Monthly Issuance,2017-03-08,Salary account,Silver
944,70,Monthly Issuance,2017-03-08,Savings account,Silver
1545,1,Monthly Issuance,2017-03-08,Salary account,Silver
2453,1,Monthly Issuance,2017-03-08,NRI account,Silver
3734,43,Monthly Issuance,2017-03-08,Salary account,Silver
3935,23,Monthly Issuance,2017-03-08,NRI account,Silver
396,21,Monthly Issuance,2017-03-08,Salary account,Silver
2694,7,Monthly Issuance,2017-03-08,Savings account,Silver
4596,74,Monthly Issuance,2017-03-09,Salary account,Silver
2489,72,Monthly Issuance,2017-03-09,Salary account,Silver
2895,19,Monthly Issuance,2017-03-09,Savings account,Silver
317,76,Monthly Issuance,2017-03-10,Salary account,Silver
2555,53,Monthly Issuance,2017-03-10,NRI account,Silver
494,60,Monthly Issuance,2017-03-11,Savings account,Silver
2219,60,Monthly Issuance,2017-03-11,Salary account,Silver
2581,72,Monthly Issuance,2017-03-11,Salary account,Silver
112,6,Monthly Issuance,2017-03-12,Salary account,Silver
3674,38,Monthly Issuance,2017-03-12,Savings account,Silver
2039,44,Monthly Issuance,2017-03-12,NRI account,Silver
2712,9,Monthly Issuance,2017-03-12,Salary account,Silver
395,1,Monthly Issuance,2017-03-12,Savings account,Silver
2974,9,Monthly Issuance,2017-03-13,Salary account,Silver
123,21,Monthly Issuance,2017-03-13,Salary account,Silver
9640,1,Monthly Issuance,2017-03-13,Salary account,Silver
3108,53,Monthly Issuance,2017-03-14,Savings account,Silver
2508,34,Monthly Issuance,2017-03-14,Salary account,Silver
2458,40,Weekly Issuance,2017-03-14,Salary account,Diamond
588,66,Monthly Issuance,2017-03-14,Savings account,Silver
7231,10,Monthly Issuance,2017-03-14,Salary account,Silver
6701,49,Weekly Issuance,2017-03-15,Salary account,Diamond
3883,72,Monthly Issuance,2017-03-15,Savings account,Silver
222,37,Monthly Issuance,2017-03-15,NRI account,Silver
2497,65,Monthly Issuance,2017-03-16,Salary account,Silver
1372,1,Monthly Issuance,2017-03-16,NRI account,Silver
3835,50,Monthly Issuance,2017-03-16,Salary account,Silver
7445,64,Monthly Issuance,2017-03-18,Savings account,Silver
2527,38,Monthly Issuance,2017-03-19,Salary account,Silver
425,9,Monthly Issuance,2017-03-19,Salary account,Silver
860,1,Monthly Issuance,2017-03-19,NRI account,Silver
6034,6,Weekly Issuance,2017-03-19,Salary account,Diamond
11065,11,Monthly Issuance,2017-03-19,Savings account,Silver
9883,1,Monthly Issuance,2017-03-19,Savings account,Silver
115,68,Monthly Issuance,2017-03-19,Savings account,Silver
1189,59,Monthly Issuance,2017-03-19,Savings account,Silver
3675,64,Monthly Issuance,2017-03-20,Savings account,Silver
3069,66,Monthly Issuance,2017-03-20,NRI account,Silver
2762,19,Monthly Issuance,2017-03-20,Savings account,Silver
892,70,Monthly Issuance,2017-03-20,Savings account,Silver
1535,46,Monthly Issuance,2017-03-20,Savings account,Silver
2618,60,Monthly Issuance,2017-03-21,NRI account,Silver
2651,2,Monthly Issuance,2017-03-21,Savings account,Silver
5442,34,Monthly Issuance,2017-03-22,Salary account,Silver
1787,30,Weekly Issuance,2017-03-22,Salary account,Diamond
1397,17,Monthly Issuance,2017-03-22,Savings account,Silver
3785,10,Monthly Issuance,2017-03-24,NRI account,Silver
623,1,Monthly Issuance,2017-03-24,Salary account,Silver
8260,31,Monthly Issuance,2017-03-24,Salary account,Silver
3678,1,Monthly Issuance,2017-03-24,Savings account,Silver
3001,1,Monthly Issuance,2017-03-24,Salary account,Silver
655,53,Monthly Issuance,2017-03-24,Salary account,Silver
4093,1,Monthly Issuance,2017-03-25,NRI account,Silver
3260,68,Monthly Issuance,2017-03-25,NRI account,Silver
2528,65,Monthly Issuance,2017-03-25,Salary account,Silver
2011,75,Monthly Issuance,2017-03-25,Savings account,Silver
1721,68,Monthly Issuance,2017-03-25,Savings account,Silver
1332,59,Monthly Issuance,2017-03-25,NRI account,Silver
1402,74,Monthly Issuance,2017-03-26,NRI account,Silver
3283,68,Monthly Issuance,2017-03-26,Salary account,Silver
3781,31,Monthly Issuance,2017-03-26,Salary account,Silver
7203,71,Monthly Issuance,2017-03-26,Savings account,Silver
1065,72,Monthly Issuance,2017-03-27,Salary account,Silver
3076,54,Monthly Issuance,2017-03-27,NRI account,Silver
4347,1,Monthly Issuance,2017-03-27,Savings account,Silver
1157,7,Monthly Issuance,2017-03-27,NRI account,Silver
9403,1,Weekly Issuance,2017-03-27,NRI account,Diamond
1874,9,Monthly Issuance,2017-03-27,Savings account,Silver
1115,34,Monthly Issuance,2017-03-27,Savings account,Silver
3586,59,Monthly Issuance,2017-03-27,NRI account,Silver
62,47,Monthly Issuance,2017-03-28,NRI account,Silver
1771,69,Monthly Issuance,2017-03-28,Salary account,Silver
5483,13,Monthly Issuance,2017-03-28,NRI account,Silver
8330,48,Monthly Issuance,2017-03-28,NRI account,Silver
187,5,Monthly Issuance,2017-03-28,NRI account,Silver
423,12,Monthly Issuance,2017-03-28,Savings account,Silver
6425,31,Monthly Issuance,2017-03-29,Savings account,Silver
2493,62,Monthly Issuance,2017-03-29,NRI account,Silver
2896,29,Monthly Issuance,2017-03-30,Savings account,Silver
2245,29,Monthly Issuance,2017-03-30,NRI account,Silver
3923,52,Monthly Issuance,2017-03-30,Savings account,Silver
1898,70,Monthly Issuance,2017-04-01,Salary account,Silver
3367,1,Monthly Issuance,2017-04-01,Salary account,Silver
3391,74,Monthly Issuance,2017-04-01,Salary account,Silver
8519,23,Monthly Issuance,2017-04-02,Salary account,Silver
1780,1,Monthly Issuance,2017-04-02,Savings account,Silver
3915,65,Monthly Issuance,2017-04-02,Savings account,Silver
3980,75,Monthly Issuance,2017-04-03,NRI account,Silver
4350,63,Monthly Issuance,2017-04-04,NRI account,Silver
686,41,Monthly Issuance,2017-04-04,NRI account,Silver
362,15,Monthly Issuance,2017-04-04,Salary account,Silver
299,77,Monthly Issuance,2017-04-05,Salary account,Silver
2488,5,Monthly Issuance,2017-04-06,NRI account,Silver
2985,71,Monthly Issuance,2017-04-06,Salary account,Silver
385,5,Monthly Issuance,2017-04-07,NRI account,Silver
2817,56,Monthly Issuance,2017-04-07,Savings account,Silver
2056,58,Monthly Issuance,2017-04-07,Salary account,Silver
2002,1,Monthly Issuance,2017-04-08,Savings account,Silver
748,10,Monthly Issuance,2017-04-08,Salary account,Silver
220,72,Monthly Issuance,2017-04-09,Savings account,Silver
1422,68,Monthly Issuance,2017-04-09,Savings account,Silver
1147,44,Monthly Issuance,2017-04-10,NRI account,Silver
3788,70,Monthly Issuance,2017-04-10,Savings account,Silver
1891,32,Monthly Issuance,2017-04-10,Salary account,Silver
1239,1,Monthly Issuance,2017-04-10,NRI account,Silver
8321,77,Monthly Issuance,2017-04-12,Salary account,Silver
3213,51,Monthly Issuance,2017-04-12,Salary account,Silver
2838,3,Weekly Issuance,2017-04-13,NRI account,Diamond
3644,38,Monthly Issuance,2017-04-13,NRI account,Silver
4318,33,Weekly Issuance,2017-04-13,NRI account,Diamond
2648,51,Monthly Issuance,2017-04-13,NRI account,Silver
2313,26,Weekly Issuance,2017-04-13,Salary account,Diamond
5428,24,Monthly Issuance,2017-04-14,Savings account,Silver
7123,64,Issuance After a Transaction,2017-04-14,Salary account,Gold
279,39,Monthly Issuance,2017-04-14,NRI account,Silver
104,37,Monthly Issuance,2017-04-15,Salary account,Silver
497,55,Monthly Issuance,2017-04-15,Savings account,Silver
1152,45,Monthly Issuance,2017-04-15,NRI account,Silver
83,26,Monthly Issuance,2017-04-16,Savings account,Silver
2008,52,Monthly Issuance,2017-04-16,NRI account,Silver
3327,45,Monthly Issuance,2017-04-16,Salary account,Silver
5740,43,Monthly Issuance,2017-04-16,NRI account,Silver
8132,5,Weekly Issuance,2017-04-17,Savings account,Diamond
10738,45,Weekly Issuance,2017-04-17,Salary account,Diamond
2216,74,Monthly Issuance,2017-04-17,Savings account,Silver
1815,66,Monthly Issuance,2017-04-17,NRI account,Silver
2823,57,Monthly Issuance,2017-04-18,Savings account,Silver
4321,47,Monthly Issuance,2017-04-18,Salary account,Silver
1773,33,Monthly Issuance,2017-04-19,NRI account,Silver
7454,4,Monthly Issuance,2017-04-19,Savings account,Silver
188,54,Monthly Issuance,2017-04-20,Savings account,Silver
10973,18,Weekly Issuance,2017-04-20,NRI account,Diamond
2599,48,Monthly Issuance,2017-04-20,NRI account,Silver
1166,11,Monthly Issuance,2017-04-21,Savings account,Silver
504,73,Monthly Issuance,2017-04-21,Savings account,Silver
1518,67,Monthly Issuance,2017-04-21,NRI account,Silver
2189,75,Monthly Issuance,2017-04-22,NRI account,Silver
6040,1,Monthly Issuance,2017-04-22,NRI account,Silver
2876,52,Monthly Issuance,2017-04-22,Salary account,Silver
1505,69,Monthly Issuance,2017-04-23,Savings account,Silver
6897,48,Monthly Issuance,2017-04-23,Savings account,Silver
4377,28,Monthly Issuance,2017-04-24,Savings account,Silver
717,75,Monthly Issuance,2017-04-24,Savings account,Silver
9707,70,Monthly Issuance,2017-04-24,NRI account,Silver
2814,72,Monthly Issuance,2017-04-25,Savings account,Silver
3068,59,Monthly Issuance,2017-04-25,Savings account,Silver
1476,61,Monthly Issuance,2017-04-26,Savings account,Silver
897,38,Monthly Issuance,2017-04-26,Savings account,Silver
977,1,Monthly Issuance,2017-04-26,Salary account,Silver
2639,17,Monthly Issuance,2017-04-26,Salary account,Silver
1032,11,Monthly Issuance,2017-04-26,NRI account,Silver
928,20,Monthly Issuance,2017-04-26,Savings account,Silver
168,31,Monthly Issuance,2017-04-27,Savings account,Silver
2175,1,Monthly Issuance,2017-04-27,NRI account,Silver
10105,55,Monthly Issuance,2017-04-28,NRI account,Silver
1392,60,Monthly Issuance,2017-04-28,Savings account,Silver
3697,45,Monthly Issuance,2017-04-29,NRI account,Silver
5313,40,Monthly Issuance,2017-04-29,Salary account,Silver
2222,47,Monthly Issuance,2017-05-01,Savings account,Silver
2641,7,Monthly Issuance,2017-05-02,NRI account,Silver
5423,15,Monthly Issuance,2017-05-02,Salary account,Silver
2609,73,Monthly Issuance,2017-05-03,Salary account,Silver
5472,1,Monthly Issuance,2017-05-04,NRI account,Silver
2932,72,Monthly Issuance,2017-05-04,Savings account,Silver
4254,70,Monthly Issuance,2017-05-04,Salary account,Silver
3965,31,Monthly Issuance,2017-05-04,NRI account,Silver
10656,8,Monthly Issuance,2017-05-05,Salary account,Silver
887,1,Monthly Issuance,2017-05-05,Salary account,Silver
4743,64,Monthly Issuance,2017-05-05,Salary account,Silver
1048,35,Monthly Issuance,2017-05-05,Savings account,Silver
1671,6,Monthly Issuance,2017-05-05,NRI account,Silver
1236,19,Monthly Issuance,2017-05-05,Savings account,Silver
1822,30,Monthly Issuance,2017-05-05,NRI account,Silver
3316,28,Monthly Issuance,2017-05-06,Savings account,Silver
2037,20,Monthly Issuance,2017-05-06,Savings account,Silver
10079,62,Monthly Issuance,2017-05-06,Savings account,Silver
3999,35,Monthly Issuance,2017-05-06,NRI account,Silver
551,77,Monthly Issuance,2017-05-07,Salary account,Silver
1200,33,Monthly Issuance,2017-05-07,Salary account,Silver
1161,66,Monthly Issuance,2017-05-08,Savings account,Silver
5372,48,Monthly Issuance,2017-05-08,Savings account,Silver
3050,60,Monthly Issuance,2017-05-08,NRI account,Silver
1784,59,Monthly Issuance,2017-05-08,Savings account,Silver
1603,1,Monthly Issuance,2017-05-09,Salary account,Silver
1887,68,Monthly Issuance,2017-05-09,Salary account,Silver
1644,1,Monthly Issuance,2017-05-09,NRI account,Silver
1658,73,Monthly Issuance,2017-05-10,Salary account,Silver
44,32,Monthly Issuance,2017-05-10,NRI account,Silver
1039,70,Weekly Issuance,2017-05-10,Savings account,Diamond
1071,68,Weekly Issuance,2017-05-10,Savings account,Diamond
2410,54,Monthly Issuance,2017-05-11,Salary account,Silver
2523,10,Monthly Issuance,2017-05-11,Salary account,Silver
790,54,Monthly Issuance,2017-05-11,NRI account,Silver
2583,62,Monthly Issuance,2017-05-11,NRI account,Silver
1782,8,Monthly Issuance,2017-05-12,Salary account,Silver
751,3,Monthly Issuance,2017-05-12,Salary account,Silver
2061,24,Monthly Issuance,2017-05-12,Savings account,Silver
8261,13,Monthly Issuance,2017-05-12,Salary account,Silver
2321,35,Monthly Issuance,2017-05-13,Salary account,Silver
1334,74,Monthly Issuance,2017-05-14,Savings account,Silver
3649,54,Monthly Issuance,2017-05-14,NRI account,Silver
555,24,Monthly Issuance,2017-05-15,Salary account,Silver
3173,39,Monthly Issuance,2017-05-15,Salary account,Silver
863,71,Monthly Issuance,2017-05-16,Salary account,Silver
3181,42,Monthly Issuance,2017-05-16,Salary account,Silver
3210,1,Monthly Issuance,2017-05-17,NRI account,Silver
489,16,Monthly Issuance,2017-05-17,NRI account,Silver
947,59,Monthly Issuance,2017-05-17,NRI account,Silver
3284,64,Monthly Issuance,2017-05-17,NRI account,Silver
1610,52,Monthly Issuance,2017-05-17,Savings account,Silver
4225,55,Monthly Issuance,2017-05-18,Salary account,Silver
1412,64,Monthly Issuance,2017-05-18,Salary account,Silver
1937,36,Monthly Issuance,2017-05-18,Salary account,Silver
991,39,Monthly Issuance,2017-05-18,NRI account,Silver
1180,20,Monthly Issuance,2017-05-19,NRI account,Silver
2758,70,Monthly Issuance,2017-05-19,Savings account,Silver
2711,58,Monthly Issuance,2017-05-19,NRI account,Silver
1652,74,Monthly Issuance,2017-05-20,NRI account,Silver
3099,70,Monthly Issuance,2017-05-20,Savings account,Silver
11111,1,Monthly Issuance,2017-05-20,Salary account,Silver
9591,74,Monthly Issuance,2017-05-20,Savings account,Silver
9828,11,Monthly Issuance,2017-05-20,Savings account,Silver
5385,44,Weekly Issuance,2017-05-21,Salary account,Diamond
23,30,Monthly Issuance,2017-05-22,Savings account,Silver
2645,54,Monthly Issuance,2017-05-22,Savings account,Silver
2991,19,Monthly Issuance,2017-05-22,Savings account,Silver
3469,76,Monthly Issuance,2017-05-22,Salary account,Silver
1851,55,Monthly Issuance,2017-05-23,Salary account,Silver
3844,67,Monthly Issuance,2017-05-23,NRI account,Silver
1442,23,Monthly Issuance,2017-05-23,NRI account,Silver
3064,40,Monthly Issuance,2017-05-23,Salary account,Silver
3558,4,Monthly Issuance,2017-05-23,NRI account,Silver
1534,1,Monthly Issuance,2017-05-24,Savings account,Silver
334,1,Monthly Issuance,2017-05-24,NRI account,Silver
1786,1,Monthly Issuance,2017-05-25,NRI account,Silver
1272,40,Weekly Issuance,2017-05-25,Salary account,Diamond
2436,67,Monthly Issuance,2017-05-25,Savings account,Silver
3796,53,Monthly Issuance,2017-05-25,Savings account,Silver
119,27,Monthly Issuance,2017-05-25,NRI account,Silver
3063,72,Monthly Issuance,2017-05-26,Savings account,Silver
18,43,Weekly Issuance,2017-05-26,Savings account,Diamond
11320,44,Monthly Issuance,2017-05-26,Savings account,Silver
3888,39,Monthly Issuance,2017-05-27,Savings account,Silver
1584,30,Monthly Issuance,2017-05-27,Savings account,Silver
5546,43,Monthly Issuance,2017-05-28,Savings account,Silver
2029,55,Monthly Issuance,2017-05-29,Salary account,Silver
10911,1,Weekly Issuance,2017-05-29,NRI account,Diamond
2467,33,Monthly Issuance,2017-05-29,NRI account,Silver
2962,1,Monthly Issuance,2017-05-30,NRI account,Silver
