card_id,disp_id,type,Issued
576,3671,Gold,2021-04-30
232,1396,Gold,2021-05-01
730,4749,Gold,2021-05-02
616,3943,Gold,2021-05-05
564,3590,Gold,2021-05-06
82,474,Gold,2021-05-07
1173,12442,Gold,2021-05-08
426,2686,Gold,2021-05-09
791,5521,Gold,2021-05-12
572,3636,Sliver,2021-05-16
375,2425,Sliver,2021-05-17
69,438,Gold,2021-05-17
607,3885,Gold,2021-05-17
155,900,Sliver,2021-05-17
275,1762,Gold,2021-05-20
847,6610,Gold,2021-05-20
399,2527,Gold,2021-05-22
305,1914,Gold,2021-05-23
430,2713,Gold,2021-05-26
349,2214,Gold,2021-05-26
256,1583,Gold,2021-05-26
50,309,Gold,2021-05-28
939,8217,Sliver,2021-05-29
110,608,Gold,2021-05-31
184,1089,Diamond,2021-06-03
90,503,Gold,2021-06-04
597,3813,Sliver,2021-06-06
471,3037,Gold,2021-06-09
494,3173,Gold,2021-06-10
211,1271,Gold,2021-06-10
353,2259,Gold,2021-06-11
213,1289,Diamond,2021-06-11
1009,9409,Diamond,2021-06-14
297,1883,Gold,2021-06-15
801,5684,Gold,2021-06-15
748,4923,Gold,2021-06-16
133,742,Gold,2021-06-16
316,2013,Gold,2021-06-17
145,819,Gold,2021-06-17
270,1736,Sliver,2021-06-17
1178,12542,Gold,2021-06-19
222,1345,Gold,2021-06-19
241,1461,Gold,2021-06-20
280,1793,Gold,2021-06-22
675,4376,Gold,2021-06-23
108,597,Gold,2021-06-25
1196,12805,Gold,2021-06-27
287,1819,Sliver,2021-06-28
443,2808,Gold,2021-06-29
1138,11825,Gold,2021-06-29
733,4764,Sliver,2021-06-30
311,1954,Gold,2021-07-01
120,662,Gold,2021-07-03
122,667,Sliver,2021-07-03
476,3079,Gold,2021-07-06
781,5366,Gold,2021-07-07
588,3765,Gold,2021-07-08
403,2538,Sliver,2021-07-12
139,797,Gold,2021-07-14
553,3522,Gold,2021-07-14
625,3987,Gold,2021-07-17
413,2592,Sliver,2021-07-20
591,3779,Gold,2021-07-23
694,4504,Gold,2021-07-24
512,3259,Gold,2021-07-24
1095,11023,Diamond,2021-07-28
1059,10235,Gold,2021-07-29
75,457,Gold,2021-07-29
383,2469,Gold,2021-07-30
115,638,Gold,2021-07-30
884,7286,Diamond,2021-07-31
454,2921,Gold,2021-08-01
688,4472,Gold,2021-08-01
936,8030,Gold,2021-08-02
663,4295,Gold,2021-08-06
637,4094,Sliver,2021-08-06
511,3257,Sliver,2021-08-06
1220,13160,Gold,2021-08-08
628,4007,Gold,2021-08-11
718,4660,Gold,2021-08-12
238,1452,Diamond,2021-08-17
546,3465,Diamond,2021-08-19
660,4265,Sliver,2021-08-19
491,3151,Gold,2021-08-21
140,798,Gold,2021-08-22
502,3201,Gold,2021-08-22
598,3821,Gold,2021-08-23
355,2267,Gold,2021-08-28
43,267,Gold,2021-08-29
610,3894,Gold,2021-08-29
182,1067,Diamond,2021-08-31
41,256,Gold,2021-08-31
91,504,Sliver,2021-09-01
252,1529,Gold,2021-09-02
495,3181,Gold,2021-09-02
259,1610,Gold,2021-09-05
187,1140,Gold,2021-09-07
185,1098,Gold,2021-09-07
1025,9625,Gold,2021-09-08
19,130,Gold,2021-09-09
431,2715,Diamond,2021-09-12
356,2268,Gold,2021-09-13
767,5204,Gold,2021-09-14
537,3405,Gold,2021-09-15
703,4546,Gold,2021-09-17
671,4345,Gold,2021-09-17
896,7567,Gold,2021-09-18
343,2164,Gold,2021-09-21
279,1791,Gold,2021-09-21
622,3981,Sliver,2021-09-22
612,3906,Gold,2021-09-22
206,1243,Gold,2021-09-22
190,1165,Gold,2021-09-23
1203,12893,Gold,2021-09-26
234,1424,Gold,2021-09-29
30,202,Gold,2021-10-01
327,2117,Gold,2021-10-03
49,305,Gold,2021-10-03
1115,11375,Sliver,2021-10-03
698,4522,Diamond,2021-10-07
874,7127,Diamond,2021-10-07
247,1500,Sliver,2021-10-08
656,4235,Gold,2021-10-08
436,2759,Gold,2021-10-09
124,688,Gold,2021-10-10
633,4078,Gold,2021-10-12
428,2698,Gold,2021-10-13
638,4100,Diamond,2021-10-14
153,886,Diamond,2021-10-19
596,3811,Gold,2021-10-19
664,4316,Gold,2021-10-22
251,1525,Gold,2021-10-23
552,3519,Gold,2021-10-25
9,76,Gold,2021-10-25
11,79,Diamond,2021-10-25
650,4194,Gold,2021-10-26
59,365,Gold,2021-10-27
1016,9525,Gold,2021-10-28
359,2299,Gold,2021-10-29
438,2768,Gold,2021-10-30
94,513,Gold,2021-11-06
1056,10220,Gold,2021-11-06
273,1758,Gold,2021-11-07
947,8366,Gold,2021-11-08
93,510,Gold,2021-11-09
762,5132,Gold,2021-11-10
254,1578,Gold,2021-11-11
611,3896,Gold,2021-11-13
648,4188,Gold,2021-11-18
373,2401,Gold,2021-11-18
579,3699,Gold,2021-11-18
555,3544,Gold,2021-11-19
329,2122,Diamond,2021-11-19
707,4560,Gold,2021-11-21
51,321,Gold,2021-11-21
382,2445,Diamond,2021-11-22
472,3056,Gold,2021-11-24
237,1445,Gold,2021-11-25
1234,13386,Gold,2021-11-28
86,490,Gold,2021-11-28
540,3425,Gold,2021-11-29
493,3167,Gold,2021-11-30
532,3382,Gold,2021-11-30
590,3769,Gold,2021-12-02
942,8295,Gold,2021-12-02
33,221,Sliver,2021-12-03
739,4821,Gold,2021-12-03
45,272,Gold,2021-12-05
25,158,Gold,2021-12-06
200,1220,Diamond,2021-12-09
268,1707,Diamond,2021-12-11
507,3245,Gold,2021-12-11
569,3616,Gold,2021-12-12
282,1799,Diamond,2021-12-13
536,3404,Gold,2021-12-13
1022,9606,Gold,2021-12-13
1105,11237,Gold,2021-12-13
326,2104,Gold,2021-12-14
380,2434,Gold,2021-12-15
723,4699,Gold,2021-12-15
81,473,Gold,2021-12-17
521,3310,Gold,2021-12-17
608,3890,Gold,2021-12-17
589,3766,Sliver,2021-12-20
281,1795,Gold,2021-12-22
891,7434,Gold,2021-12-23
774,5249,Gold,2021-12-25
566,3606,Gold,2021-12-25
575,3667,Diamond,2021-12-25
154,887,Gold,2021-12-28
130,722,Gold,2021-12-29
434,2739,Gold,2021-12-30
83,483,Gold,2022-01-05
593,3787,Sliver,2022-01-06
481,3102,Sliver,2022-01-06
304,1913,Gold,2022-01-06
149,858,Gold,2022-01-07
659,4258,Gold,2022-01-08
517,3291,Gold,2022-01-09
368,2361,Gold,2022-01-10
482,3104,Sliver,2022-01-13
689,4473,Gold,2022-01-15
557,3567,Gold,2022-01-17
897,7576,Gold,2022-01-18
803,5727,Gold,2022-01-19
401,2532,Gold,2022-01-19
760,5126,Gold,2022-01-19
274,1759,Gold,2022-01-21
28,174,Sliver,2022-01-22
904,7672,Gold,2022-01-22
474,3066,Sliver,2022-01-24
214,1292,Gold,2022-01-24
55,335,Gold,2022-01-25
340,2155,Gold,2022-01-25
724,4701,Diamond,2022-01-27
67,429,Sliver,2022-01-28
236,1440,Sliver,2022-01-29
68,434,Gold,2022-01-31
348,2203,Gold,2022-02-02
65,414,Gold,2022-02-02
1239,13442,Sliver,2022-02-02
165,996,Sliver,2022-02-04
249,1517,Gold,2022-02-06
246,1492,Gold,2022-02-08
720,4674,Sliver,2022-02-09
518,3292,Diamond,2022-02-10
459,2958,Diamond,2022-02-11
655,4231,Gold,2022-02-13
624,3985,Sliver,2022-02-13
398,2522,Gold,2022-02-14
796,5579,Gold,2022-02-20
100,562,Diamond,2022-02-21
574,3640,Sliver,2022-02-23
360,2308,Gold,2022-02-24
391,2493,Gold,2022-02-24
283,1800,Gold,2022-02-25
726,4721,Gold,2022-02-26
132,731,Sliver,2022-02-26
463,2982,Gold,2022-02-26
21,132,Gold,2022-02-26
529,3357,Gold,2022-02-27
946,8359,Sliver,2022-02-28
419,2626,Gold,2022-02-28
248,1512,Gold,2022-03-01
215,1296,Gold,2022-03-02
225,1359,Gold,2022-03-03
643,4157,Gold,2022-03-04
844,6567,Sliver,2022-03-04
672,4349,Gold,2022-03-07
276,1765,Gold,2022-03-07
1230,13312,Gold,2022-03-08
599,3824,Diamond,2022-03-08
72,447,Gold,2022-03-09
1199,12826,Gold,2022-03-09
48,295,Gold,2022-03-10
58,358,Gold,2022-03-11
334,2133,Gold,2022-03-13
2,19,Gold,2022-03-13
228,1382,Sliver,2022-03-15
244,1480,Gold,2022-03-16
1189,12683,Gold,2022-03-17
198,1211,Sliver,2022-03-18
34,225,Gold,2022-03-20
535,3395,Gold,2022-03-22
269,1718,Diamond,2022-03-22
515,3268,Gold,2022-03-23
290,1833,Gold,2022-03-24
315,2005,Sliver,2022-03-24
784,5461,Gold,2022-03-24
63,378,Sliver,2022-03-27
417,2619,Gold,2022-03-30
619,3958,Gold,2022-04-01
191,1168,Sliver,2022-04-02
965,8636,Gold,2022-04-02
444,2815,Diamond,2022-04-03
370,2374,Gold,2022-04-03
156,906,Sliver,2022-04-07
492,3166,Gold,2022-04-09
52,326,Diamond,2022-04-10
71,441,Gold,2022-04-11
775,5253,Diamond,2022-04-11
330,2124,Gold,2022-04-11
510,3256,Gold,2022-04-13
170,1020,Gold,2022-04-16
338,2146,Gold,2022-04-16
755,5002,Gold,2022-04-16
451,2888,Sliver,2022-04-16
263,1668,Diamond,2022-04-17
602,3846,Sliver,2022-04-18
498,3186,Gold,2022-04-18
933,7959,Sliver,2022-04-21
89,497,Gold,2022-04-22
761,5128,Diamond,2022-04-23
176,1049,Gold,2022-04-25
1102,11183,Gold,2022-04-25
109,605,Gold,2022-04-26
421,2644,Gold,2022-04-27
918,7796,Gold,2022-04-27
680,4417,Gold,2022-04-29
824,6196,Gold,2022-04-29
448,2864,Gold,2022-04-29
1194,12781,Sliver,2022-04-30
331,2125,Diamond,2022-05-01
734,4765,Gold,2022-05-01
235,1438,Gold,2022-05-02
284,1807,Gold,2022-05-07
412,2585,Gold,2022-05-09
64,402,Gold,2022-05-10
186,1133,Diamond,2022-05-12
458,2951,Diamond,2022-05-14
465,2995,Gold,2022-05-15
457,2948,Sliver,2022-05-16
456,2929,Gold,2022-05-16
645,4166,Gold,2022-05-17
906,7683,Diamond,2022-05-18
756,5012,Gold,2022-05-18
218,1322,Gold,2022-05-18
717,4654,Gold,2022-05-19
8,60,Sliver,2022-05-20
700,4533,Sliver,2022-05-22
757,5013,Sliver,2022-05-22
126,707,Gold,2022-05-23
358,2287,Sliver,2022-05-23
639,4112,Gold,2022-05-23
212,1280,Gold,2022-05-24
415,2609,Gold,2022-05-25
161,963,Gold,2022-05-25
207,1244,Gold,2022-05-25
1216,13097,Gold,2022-05-26
649,4190,Gold,2022-05-29
475,3075,Diamond,2022-05-31
586,3756,Gold,2022-05-31
446,2841,Gold,2022-06-04
823,6178,Gold,2022-06-05
644,4165,Gold,2022-06-05
111,615,Gold,2022-06-05
469,3026,Gold,2022-06-07
17,127,Gold,2022-06-07
558,3568,Gold,2022-06-07
192,1169,Gold,2022-06-08
631,4061,Sliver,2022-06-09
317,2015,Gold,2022-06-10
716,4651,Sliver,2022-06-11
7,56,Gold,2022-06-11
863,6906,Gold,2022-06-12
123,679,Gold,2022-06-12
770,5232,Gold,2022-06-15
143,816,Gold,2022-06-15
785,5468,Gold,2022-06-16
646,4167,Gold,2022-06-17
160,954,Gold,2022-06-17
669,4341,Gold,2022-06-19
101,566,Gold,2022-06-19
332,2126,Gold,2022-06-19
362,2320,Diamond,2022-06-21
173,1031,Gold,2022-06-21
16,116,Gold,2022-06-23
365,2332,Gold,2022-06-23
701,4534,Gold,2022-06-24
80,471,Gold,2022-06-25
831,6275,Gold,2022-06-29
354,2265,Diamond,2022-06-30
250,1522,Gold,2022-06-30
142,810,Gold,2022-07-01
991,9149,Sliver,2022-07-01
1192,12736,Gold,2022-07-02
738,4808,Sliver,2022-07-02
627,3994,Gold,2022-07-05
696,4516,Gold,2022-07-05
260,1616,Gold,2022-07-05
768,5223,Gold,2022-07-06
233,1418,Gold,2022-07-07
450,2880,Gold,2022-07-07
440,2782,Gold,2022-07-07
301,1899,Gold,2022-07-07
485,3124,Gold,2022-07-08
567,3611,Gold,2022-07-08
66,425,Gold,2022-07-08
1002,9261,Gold,2022-07-09
453,2911,Diamond,2022-07-12
277,1777,Diamond,2022-07-12
571,3627,Sliver,2022-07-13
687,4471,Gold,2022-07-14
640,4115,Gold,2022-07-14
39,254,Gold,2022-07-14
435,2740,Gold,2022-07-15
411,2572,Gold,2022-07-15
548,3501,Gold,2022-07-16
1167,12335,Gold,2022-07-18
727,4723,Gold,2022-07-19
603,3850,Gold,2022-07-20
496,3183,Sliver,2022-07-21
73,451,Sliver,2022-07-21
146,822,Gold,2022-07-23
439,2779,Gold,2022-07-23
613,3913,Gold,2022-07-23
323,2065,Sliver,2022-07-24
623,3984,Gold,2022-07-25
530,3360,Gold,2022-07-25
396,2508,Gold,2022-07-26
1076,10604,Diamond,2022-07-27
344,2168,Gold,2022-07-27
525,3337,Gold,2022-07-27
42,264,Sliver,2022-07-28
740,4823,Sliver,2022-07-28
780,5333,Gold,2022-07-29
509,3253,Diamond,2022-07-30
308,1938,Gold,2022-07-30
618,3947,Gold,2022-07-31
209,1251,Gold,2022-07-31
1155,12088,Gold,2022-08-01
95,519,Sliver,2022-08-01
833,6299,Gold,2022-08-01
319,2038,Sliver,2022-08-02
795,5563,Gold,2022-08-02
508,3249,Gold,2022-08-03
78,468,Gold,2022-08-04
683,4437,Gold,2022-08-05
32,219,Gold,2022-08-06
550,3515,Gold,2022-08-08
1217,13098,Sliver,2022-08-09
1003,9274,Gold,2022-08-09
179,1059,Gold,2022-08-10
169,1019,Gold,2022-08-10
221,1339,Gold,2022-08-10
684,4457,Gold,2022-08-11
77,466,Gold,2022-08-13
581,3721,Gold,2022-08-13
47,280,Gold,2022-08-13
386,2478,Gold,2022-08-14
346,2177,Gold,2022-08-14
406,2548,Gold,2022-08-16
951,8392,Gold,2022-08-16
519,3297,Gold,2022-08-16
321,2058,Diamond,2022-08-16
128,716,Gold,2022-08-19
711,4592,Gold,2022-08-19
538,3414,Diamond,2022-08-20
29,192,Gold,2022-08-20
834,6301,Gold,2022-08-21
461,2977,Diamond,2022-08-21
239,1453,Diamond,2022-08-24
395,2502,Gold,2022-08-24
531,3378,Diamond,2022-08-24
1150,12020,Gold,2022-08-25
96,528,Gold,2022-08-26
367,2343,Gold,2022-08-27
1023,9621,Gold,2022-08-30
702,4543,Gold,2022-08-30
405,2542,Gold,2022-08-31
480,3092,Gold,2022-09-01
1098,11063,Gold,2022-09-01
79,469,Gold,2022-09-02
402,2536,Gold,2022-09-03
551,3517,Gold,2022-09-03
425,2662,Sliver,2022-09-04
1195,12787,Diamond,2022-09-04
1154,12070,Gold,2022-09-05
307,1930,Diamond,2022-09-05
752,4944,Sliver,2022-09-06
134,769,Gold,2022-09-07
285,1811,Diamond,2022-09-10
544,3448,Diamond,2022-09-10
526,3339,Gold,2022-09-10
352,2235,Gold,2022-09-11
328,2121,Sliver,2022-09-12
26,161,Gold,2022-09-14
141,808,Gold,2022-09-15
151,861,Gold,2022-09-16
203,1231,Gold,2022-09-16
653,4212,Gold,2022-09-16
880,7186,Gold,2022-09-17
620,3959,Gold,2022-09-17
630,4019,Gold,2022-09-18
1188,12678,Gold,2022-09-19
389,2489,Diamond,2022-09-19
1024,9622,Gold,2022-09-20
193,1179,Diamond,2022-09-21
758,5016,Gold,2022-09-21
634,4081,Sliver,2022-09-22
361,2312,Gold,2022-09-23
242,1473,Gold,2022-09-24
923,7855,Gold,2022-09-24
1007,9333,Diamond,2022-09-25
520,3308,Gold,2022-09-25
629,4018,Sliver,2022-09-25
335,2137,Gold,2022-09-25
414,2606,Gold,2022-09-26
36,236,Gold,2022-09-28
561,3581,Diamond,2022-09-28
291,1836,Gold,2022-09-29
231,1390,Sliver,2022-09-29
782,5376,Gold,2022-09-29
180,1062,Gold,2022-09-29
765,5175,Gold,2022-09-29
357,2277,Sliver,2022-09-29
554,3535,Gold,2022-09-29
956,8502,Gold,2022-09-30
676,4380,Gold,2022-09-30
255,1579,Diamond,2022-10-01
1193,12743,Gold,2022-10-01
416,2616,Gold,2022-10-01
585,3753,Diamond,2022-10-01
744,4863,Gold,2022-10-02
23,146,Gold,2022-10-03
394,2501,Gold,2022-10-05
460,2971,Gold,2022-10-05
35,231,Gold,2022-10-07
447,2845,Gold,2022-10-07
264,1669,Gold,2022-10-07
245,1483,Gold,2022-10-08
505,3233,Sliver,2022-10-09
336,2138,Sliver,2022-10-09
366,2335,Gold,2022-10-09
533,3384,Gold,2022-10-09
288,1826,Gold,2022-10-10
754,4976,Sliver,2022-10-10
116,646,Gold,2022-10-11
1035,9732,Gold,2022-10-11
682,4429,Gold,2022-10-11
792,5526,Gold,2022-10-11
385,2476,Gold,2022-10-12
53,333,Gold,2022-10-13
751,4941,Sliver,2022-10-15
614,3938,Sliver,2022-10-16
957,8506,Sliver,2022-10-16
1,9,Diamond,2022-10-16
743,4862,Diamond,2022-10-18
61,374,Gold,2022-10-18
60,370,Gold,2022-10-18
74,453,Gold,2022-10-18
749,4929,Gold,2022-10-19
339,2154,Gold,2022-10-19
769,5224,Gold,2022-10-20
488,3134,Diamond,2022-10-20
31,208,Gold,2022-10-21
542,3439,Gold,2022-10-22
750,4937,Gold,2022-10-24
855,6764,Gold,2022-10-24
299,1886,Gold,2022-10-25
158,928,Diamond,2022-10-25
857,6789,Sliver,2022-10-25
230,1388,Diamond,2022-10-25
295,1864,Gold,2022-10-26
584,3751,Gold,2022-10-28
449,2865,Gold,2022-10-28
351,2232,Gold,2022-11-01
138,791,Gold,2022-11-02
524,3333,Gold,2022-11-02
693,4495,Sliver,2022-11-03
604,3858,Gold,2022-11-04
746,4901,Gold,2022-11-04
333,2128,Gold,2022-11-04
129,719,Gold,2022-11-05
429,2709,Gold,2022-11-05
424,2659,Gold,2022-11-06
345,2175,Gold,2022-11-07
1165,12291,Gold,2022-11-08
1070,10490,Sliver,2022-11-08
217,1316,Gold,2022-11-09
636,4091,Sliver,2022-11-09
820,6039,Gold,2022-11-10
46,273,Gold,2022-11-10
742,4833,Gold,2022-11-10
404,2540,Sliver,2022-11-12
102,575,Gold,2022-11-12
455,2924,Gold,2022-11-13
253,1536,Diamond,2022-11-14
570,3620,Gold,2022-11-14
27,167,Sliver,2022-11-15
580,3713,Gold,2022-11-16
409,2562,Gold,2022-11-16
205,1242,Gold,2022-11-16
773,5245,Gold,2022-11-18
487,3130,Gold,2022-11-18
177,1056,Gold,2022-11-19
632,4069,Gold,2022-11-19
445,2820,Diamond,2022-11-19
1001,9247,Gold,2022-11-20
257,1589,Gold,2022-11-20
178,1057,Gold,2022-11-21
704,4553,Diamond,2022-11-21
56,339,Gold,2022-11-22
148,834,Gold,2022-11-22
392,2496,Gold,2022-11-22
523,3319,Sliver,2022-11-23
1175,12494,Gold,2022-11-24
466,2998,Gold,2022-11-25
500,3192,Gold,2022-11-26
4,42,Gold,2022-11-26
388,2488,Sliver,2022-11-26
164,992,Gold,2022-11-29
489,3135,Gold,2022-11-29
626,3992,Gold,2022-11-30
1169,12354,Gold,2022-11-30
1137,11771,Diamond,2022-12-01
677,4382,Sliver,2022-12-01
20,131,Gold,2022-12-02
657,4246,Sliver,2022-12-02
219,1329,Gold,2022-12-04
819,5978,Diamond,2022-12-06
1177,12535,Diamond,2022-12-06
341,2156,Diamond,2022-12-06
692,4493,Gold,2022-12-08
715,4639,Sliver,2022-12-08
131,725,Gold,2022-12-08
201,1223,Gold,2022-12-08
605,3874,Gold,2022-12-11
306,1929,Gold,2022-12-11
378,2430,Gold,2022-12-11
549,3504,Gold,2022-12-12
371,2388,Diamond,2022-12-13
147,826,Sliver,2022-12-13
